,City,Latitude,Temperature,Humidity,Wind Speed,Cloudiness
562,almaznyy,48.03,35.6,100,8.95,75
563,vila do maio,15.13,75.2,53,23.04,40
564,xiongshi,,,,,0
565,comodoro rivadavia,-45.87,89.6,13,20.8,0
566,aykhal,65.95,-13.58,39,3.69,48
567,half moon bay,37.46,57.92,87,5.03,90
568,belmonte,40.36,42.45,99,4.81,92
569,sorong,-0.86,82.28,100,7.61,80
570,tiarei,-17.53,78.8,83,2.24,64
571,talakan,50.29,-8.63,64,4.7,48
572,kamarion,36.8,57.2,62,4.7,20
573,kembe,,,,,0
574,kupang,-10.16,77,94,2.24,20
575,gizo,31.8,60.8,44,6.93,0
576,pathein,16.78,69.77,86,5.59,0
577,kjopsvik,68.1,17.6,92,2.24,32
578,ulety,51.36,9.11,57,12.64,24
579,sibolga,1.74,69.68,100,2.35,44
580,bellavista,10.27,84.2,74,9.17,40
581,boromo,11.74,90.42,23,11.63,0
582,aksay,47.27,35.6,100,8.95,75
583,lakes entrance,-37.88,62.52,99,2.01,0
584,miandoab,36.97,28.4,79,4.7,0
585,solec kujawski,53.08,30.2,86,6.93,90
586,sambava,-14.27,79.17,100,15.99,92
587,arona,45.76,42.8,65,3.36,75
588,tiznit,29.7,61.31,81,5.37,0
589,kytlym,,,,,0
590,sinnamary,5.38,80.25,92,11.74,92
591,mariental,52.28,33.8,74,4.7,0
592,mamit,23.92,56.63,88,1.9,0
593,solnechnyy,50.72,-13.4,41,2.57,56
594,acapulco,16.86,75.2,83,4.7,75
595,indore,38.35,39.02,88,4.7,90
596,leh,34.16,-7.91,66,1.57,56
597,jucurutu,-6.03,83.09,91,5.59,24
598,butajira,8.12,70.49,21,3.58,32
599,sedelnikovo,,,,,0
600,eyl,7.98,76.65,90,14.43,12
601,portree,57.41,41.42,100,3.02,8
602,oistins,13.07,84.2,58,16.11,40
603,santiago del estero,-27.8,73.91,86,4.59,20
604,castres,43.6,51.8,66,2.24,20
605,bardiyah,,,,,0
606,praia,-20.25,86,48,9.17,40
607,kaohsiung,22.62,68,88,5.82,75
608,santa cruz,36.97,53.6,96,3.36,1
609,panacan,7.15,77,100,6.93,75
610,barcelos,41.53,57.2,93,9.17,90
611,rabo de peixe,37.8,60.8,87,12.75,75
612,cap malheureux,-19.98,82.4,74,9.17,75
613,mgandu,-5.96,73.64,76,3.02,76
614,inuvik,68.36,-0.41,70,6.93,90
